merchant_id,merchant_name,category,merchant_risk_tier,avg_ticket_inr,std_ticket_inr,created_at
mer_0001,UrbanMart_0001,travel_airline,MEDIUM,8200.0,4200.0,2025-08-15T10:47:28
mer_0002,SteamGamesInd_0002,food_dining,LOW,420.0,180.0,2026-03-23T02:21:50
mer_0003,AjioFashion_0003,digital_gaming,HIGH,1250.0,1600.0,2026-04-08T17:02:35
mer_0004,PharmEasyStore_0004,electronics,HIGH,14500.0,7500.0,2025-08-22T05:53:39
mer_0005,ZomatoDirect_0005,grocery_supermarket,LOW,850.0,380.0,2025-12-03T03:30:53
mer_0006,CromaTech_0006,pharmacy_healthcare,LOW,950.0,450.0,2026-01-03T18:22:55
mer_0007,FlipkartExpress_0007,travel_airline,MEDIUM,8200.0,4200.0,2025-10-14T21:03:22
mer_0008,SwiggyEats_0008,travel_airline,MEDIUM,8200.0,4200.0,2026-01-18T12:05:16
mer_0009,ZomatoDirect_0009,grocery_supermarket,LOW,850.0,380.0,2026-03-28T11:04:05
mer_0010,SwiggyEats_0010,food_dining,LOW,420.0,180.0,2025-10-16T23:38:12
mer_0011,AjioFashion_0011,food_dining,LOW,420.0,180.0,2026-03-15T11:31:24
mer_0012,PlayArena_0012,fintech_lending,MEDIUM,4800.0,3200.0,2025-12-03T16:36:18
mer_0013,ApolloPharmacy_0013,fashion_apparel,MEDIUM,2400.0,1100.0,2025-08-18T18:03:06
mer_0014,ApolloPharmacy_0014,travel_airline,MEDIUM,8200.0,4200.0,2025-08-22T05:48:47
mer_0015,AjioFashion_0015,food_dining,LOW,420.0,180.0,2026-01-24T14:07:35
mer_0016,UrbanMart_0016,grocery_supermarket,LOW,850.0,380.0,2025-10-03T07:38:47
mer_0017,PharmEasyStore_0017,fashion_apparel,MEDIUM,2400.0,1100.0,2025-11-17T13:51:39
mer_0018,FreshBazaar_0018,grocery_supermarket,LOW,850.0,380.0,2025-12-23T13:41:07
mer_0019,CromaTech_0019,travel_airline,MEDIUM,8200.0,4200.0,2026-03-25T05:15:57
mer_0020,IndiGoAviation_0020,fashion_apparel,MEDIUM,2400.0,1100.0,2026-01-20T09:11:27
mer_0021,NykaaBeauty_0021,electronics,HIGH,14500.0,7500.0,2025-11-06T23:34:15
